observaciones,pozos
14,AGUA FRIA-84--
9,AGUA FRIA-840--
9,AGUA FRIA-842--
13,AGUA FRIA-843--
14,AGUA FRIA-844--
9,AGUA FRIA-845--
14,AGUA FRIA-847--
14,AGUA FRIA-848--
14,AGUA FRIA-849--
9,AGUA FRIA-852--
14,AGUA FRIA-853--
14,AGUA FRIA-854--
14,AGUA FRIA-855--
14,AGUA FRIA-856--
14,AGUA FRIA-857--
14,AGUA FRIA-859--
13,AGUA FRIA-86--
14,AGUA FRIA-861--
8,AGUA FRIA-862--
14,AGUA FRIA-865--
14,AGUA FRIA-866--
14,AGUA FRIA-867--
8,AGUA FRIA-868--
14,AGUA FRIA-871--
14,AGUA FRIA-872--
14,AGUA FRIA-874--
14,AGUA FRIA-875--
4,AGUA FRIA-876--
14,AGUA FRIA-877--
14,AGUA FRIA-878--
14,AGUA FRIA-879--
12,AGUA FRIA-88--
14,AGUA FRIA-891--
14,AGUA FRIA-892--
14,AGUA FRIA-893--
14,AGUA FRIA-894--
10,AGUA FRIA-895--
14,AGUA FRIA-896--
14,AGUA FRIA-8960--
13,AGUA FRIA-897--
14,AGUA FRIA-898--
14,AGUA FRIA-94--
13,AGUA NACIDA-101--
13,AGUA NACIDA-104--
8,AGUA NACIDA-106--
14,AGUA NACIDA-108--
9,AGUA NACIDA-1080--
13,AGUA NACIDA-114--
6,AGUA NACIDA-116--
12,AGUA NACIDA-126-A
14,AGUA NACIDA-128--
13,AGUA NACIDA-1280--
13,AGUA NACIDA-331--
14,AGUA NACIDA-333--
14,AGUA NACIDA-351--
14,AGUA NACIDA-355--
14,AGUA NACIDA-373--
14,AGUA NACIDA-375--
13,AGUA NACIDA-395--
14,AGUA NACIDA-397--
14,AGUA NACIDA-438--
13,AGUA NACIDA-67--
13,AGUA NACIDA-670--
13,AGUA NACIDA-69--
14,AGUA NACIDA-72--
14,AGUA NACIDA-85--
14,AGUA NACIDA-89--
14,AGUACATE-1--
14,AGUACATE-15--
14,AGUACATE-16--
5,AGUACATE-17--
14,AGUACATE-18H-
14,AGUACATE-19H-
14,AGUACATE-20H-
14,AGUACATE-21H-
14,AGUACATE-22H-
14,AGUACATE-23--
13,AGUACATE-25--
13,AGUACATE-26--
13,AGUACATE-27--
14,AGUACATE-28--
14,AGUACATE-29--
1,AGUACATE-30--
14,AGUACATE-300--
13,AGUACATE-31--
14,AGUACATE-33--
14,AGUACATE-40--
14,AGUACATE-50--
7,AGUACATE-53--
14,AGUACATE-54--
14,AGUACATE-55--
14,AGUACATE-60--
14,AGUACATE-66--
14,AGUACATE-7--
14,AGUACATE-72--
14,AGUACATE-73--
1,AHUATEPEC-101--
13,AHUATEPEC-223--
13,AKAL-1001-A
14,AKAL-1005--
1,AKAL-1006--
14,AKAL-1012--
14,AKAL-1014--
1,AKAL-1017--
14,AKAL-1019--
14,AKAL-1021D-
13,AKAL-1024--
4,AKAL-1024D-
1,AKAL-1025--
14,AKAL-1026--
14,AKAL-1026D-
14,AKAL-1027D-
1,AKAL-1028D-
8,AKAL-1029--
14,AKAL-1031D-
14,AKAL-1034--
14,AKAL-1035D-
7,AKAL-1046--
13,AKAL-1048D-
1,AKAL-1060--
3,AKAL-1061D-
14,AKAL-1062--
3,AKAL-1063D-
13,AKAL-1065D-
7,AKAL-1067--
2,AKAL-108--
14,AKAL-1088--
1,AKAL-1148--
2,AKAL-118--
2,AKAL-128--
2,AKAL-136--
2,AKAL-148--
14,AKAL-15--
14,AKAL-17--
9,AKAL-19D-
1,AKAL-2058--
14,AKAL-2060H-
14,AKAL-2061--
13,AKAL-2062--
13,AKAL-2064--
1,AKAL-207--
1,AKAL-2072--
14,AKAL-2074--
14,AKAL-2074D-
13,AKAL-2076--
14,AKAL-2076D-
14,AKAL-2078--
1,AKAL-2078-A
13,AKAL-207D-
14,AKAL-2084--
3,AKAL-2092--
14,AKAL-2098H-
14,AKAL-2100H-
14,AKAL-2103--
13,AKAL-2119--
14,AKAL-2121--
2,AKAL-2135--
2,AKAL-2177--
2,AKAL-2222--
3,AKAL-2239--
3,AKAL-2257--
14,AKAL-227--
14,AKAL-2277--
14,AKAL-2279--
13,AKAL-227D-
13,AKAL-2293--
3,AKAL-2294--
3,AKAL-2295D-
5,AKAL-2297D-
14,AKAL-2298D-
14,AKAL-22H-
14,AKAL-239--
1,AKAL-24--
14,AKAL-245--
14,AKAL-247--
14,AKAL-247D-
1,AKAL-269--
1,AKAL-269D-
14,AKAL-28--
14,AKAL-285--
12,AKAL-28D-
1,AKAL-3001--
1,AKAL-3001D-
1,AKAL-3003--
14,AKAL-3003D-
14,AKAL-3005D-
14,AKAL-3006D-
14,AKAL-3007--
14,AKAL-3007D-
1,AKAL-3012--
1,AKAL-3013--
14,AKAL-3017D-
14,AKAL-3018--
14,AKAL-3020--
3,AKAL-3028--
14,AKAL-3029D-
5,AKAL-3031D-
3,AKAL-3032D-
7,AKAL-3033D-
14,AKAL-3034--
1,AKAL-3035D-
6,AKAL-3037--
3,AKAL-3038--
1,AKAL-3041--
3,AKAL-3042--
14,AKAL-3045--
14,AKAL-3045D-
12,AKAL-3047--
1,AKAL-3047D-
12,AKAL-3050--
6,AKAL-3052--
14,AKAL-3054--
14,AKAL-3056--
6,AKAL-3059H-
3,AKAL-3060--
1,AKAL-3065D-
1,AKAL-3068--
14,AKAL-3077--
14,AKAL-3078--
14,AKAL-3083D-
14,AKAL-3084--
14,AKAL-3085--
14,AKAL-3085D-
14,AKAL-3089--
3,AKAL-3094H-
14,AKAL-3095H-
14,AKAL-3096--
14,AKAL-317--
14,AKAL-33H-
10,AKAL-36D-
10,AKAL-38--
13,AKAL-408D-
14,AKAL-409--
14,AKAL-418--
13,AKAL-42--
14,AKAL-427--
14,AKAL-429--
14,AKAL-42H-
14,AKAL-43--
14,AKAL-434--
14,AKAL-435--
1,AKAL-436--
13,AKAL-44--
14,AKAL-448--
1,AKAL-46--
14,AKAL-469D-
14,AKAL-46D-
14,AKAL-471--
1,AKAL-473--
13,AKAL-474--
13,AKAL-487--
1,AKAL-488--
1,AKAL-490H-
14,AKAL-53D-
14,AKAL-55H-
13,AKAL-58--
13,AKAL-66-A
3,AKAL-75D-
14,AKAL-79D-
7,AKAL-80--
14,AKAL-82-A
14,AKAL-84--
5,AKAL-86D-
14,AKAL-88H-
14,AKAL-9--
14,AKAL-91D-
14,AKAL-93D-
1,AKAL-95D-
8,AKAL-97D-
14,AKAL-99--
14,ALAMO-30--
14,ALAMO-41-A
14,ALAMO-42--
14,ALAMO-50--
14,ALAMO-7--
14,ALAZAN-126--
14,ALAZAN-128--
14,ALAZAN-131--
14,ALAZAN-134--
14,ALAZAN-143--
14,ALAZAN-166--
14,ALAZAN-170--
14,ALAZAN-174--
14,ALAZAN-188--
14,ALAZAN-207--
14,ALAZAN-31--
14,ALAZAN-4--
13,ALONDRA-1--
14,ALONDRA-212--
14,ALONDRA-215--
14,ALONDRA-233--
14,ALONDRA-237--
14,ALONDRA-403--
14,ALONDRA-440--
14,ALONDRA-441--
14,ALONDRA-450--
14,ALONDRA-460--
14,ALONDRA-5--
14,ALONDRA-505--
14,ALONDRA-506--
14,ALONDRA-515--
14,ALONDRA-530--
13,ALONDRA-57--
14,ALONDRA-604--
14,ALONDRA-613--
14,ALONDRA-7--
1,ALTAMIRA-10--
14,ALTAMIRA-1002H-
13,ALTAMIRA-1004D-
14,ALTAMIRA-1004H-
1,ALTAMIRA-1006D-
14,ALTAMIRA-1006H-
12,ALTAMIRA-1011--
13,ALTAMIRA-1016D-
14,ALTAMIRA-1016H-
8,ALTAMIRA-1019D-
3,ALTAMIRA-1019H-
14,ALTAMIRA-1020H-
14,ALTAMIRA-1021H-
1,ALTAMIRA-1024H-
13,ALTAMIRA-1027H-
3,ALTAMIRA-1028H-
14,ALTAMIRA-1029D-
14,ALTAMIRA-1029H-
3,ALTAMIRA-1031H-
14,ALTAMIRA-1037--
13,ALTAMIRA-1038D-
13,ALTAMIRA-1039--
4,ALTAMIRA-1040--
14,ALTAMIRA-1041--
13,ALTAMIRA-1044--
14,ALTAMIRA-1045--
13,ALTAMIRA-1046--
8,ALTAMIRA-1047--
14,ALTAMIRA-1049--
13,ALTAMIRA-1050--
14,ALTAMIRA-1051--
14,ALTAMIRA-1057--
14,ALTAMIRA-1058--
14,ALTAMIRA-1059--
14,ALTAMIRA-1060--
13,ALTAMIRA-1060D-
9,ALTAMIRA-1061--
14,ALTAMIRA-1062D-
3,ALTAMIRA-1063--
3,ALTAMIRA-1063D-
3,ALTAMIRA-1083D-
13,ALTAMIRA-1086--
14,ALTAMIRA-1086D-
14,ALTAMIRA-1111--
2,ALTAMIRA-1130--
14,ALTAMIRA-1131--
14,ALTAMIRA-30--
14,ALTAMIRA-313--
1,ALTAMIRA-6--
14,ALTAMIRA-91--
13,AMATITLAN-1469--
1,AMATITLAN-1489--
14,ANGOSTURA-17--
14,ANGOSTURA-20--
14,ANGOSTURA-21--
14,ANGOSTURA-35--
14,ANGOSTURA-36--
14,ANGOSTURA-42D-
14,ANGOSTURA-45--
14,ANGOSTURA-502--
14,ANGOSTURA-51--
14,ANGOSTURA-6--
1,ANGOSTURA-9--
12,ANGUILAS-1--
14,ANGUILAS-2--
14,ANONA-1--
5,ANTARES-1--
1,ANTIGUO-11--
